date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:21	2457/2457	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e7b7d6b98f8b2d3cc7f779d38e2528eb%22	https://cdn.mairuan.com/stats/baidu/baidujsapi.js?v=19001	C:/My%20Websites/mkd/stats/baidu/baidujsapia75f.js	(from https://www.makeding.com/)
21:06:22	1396/1396	---M--	200	added ('OK')	image/jpeg	etag:%22b958f6ef16fdfc49c49501e40916f686%22	http://pic.mairuan.com/WebSource/xshell/news/old/uploads/images/xmanager/b_1_downloadbox.jpg	C:/My%20Websites/mkd/WebSource/xshell/news/old/uploads/images/xmanager/b_1_downloadbox.jpg	(from https://cdn.mairuan.com/cdn/common/css/common.css?ver=1.227)
21:06:22	11575/11575	U--MC-	200	updated ('OK')	text/html	date:Mon,%2008%20Feb%202021%2013:06:22%20GMT	https://www.makeding.com/market/cj-huawei.html	C:/My%20Websites/mkd/market/cj-huawei.html	(from https://www.makeding.com/)
21:06:22	11260/11260	U--MC-	200	updated ('OK')	text/html	date:Mon,%2008%20Feb%202021%2013:06:22%20GMT	https://www.makeding.com/market/cj-netsarang.html	C:/My%20Websites/mkd/market/cj-netsarang.html	(from https://www.makeding.com/)
21:06:22	13531/13531	U--MC-	200	updated ('OK')	text/html	date:Mon,%2008%20Feb%202021%2013:06:22%20GMT	https://www.makeding.com/team/cj-lyb.html	C:/My%20Websites/mkd/team/cj-lyb.html	(from https://www.makeding.com/)
21:06:22	15500/15500	U--MC-	200	updated ('OK')	text/html	date:Mon,%2008%20Feb%202021%2013:06:22%20GMT	https://www.makeding.com/team/cj-nianhui.html	C:/My%20Websites/mkd/team/cj-nianhui.html	(from https://www.makeding.com/)
21:06:22	14415/14415	U--MC-	200	updated ('OK')	text/html	date:Mon,%2008%20Feb%202021%2013:06:22%20GMT	https://www.makeding.com/team/cj-1111.html	C:/My%20Websites/mkd/team/cj-1111.html	(from https://www.makeding.com/)
21:06:22	2417/2417	U-----	200	untouched ('')	image/png	etag:%22041816c0489930df1a9e4f37e691c65f%22	https://pic.mairuan.com/WebSource/makeding/web/images2/footer_logo.png	C:/My%20Websites/mkd/WebSource/makeding/web/images2/footer_logo.png	(from https://www.makeding.com/)
21:06:23	7799/7799	U-----	200	untouched ('')	application/javascript	etag:W/%22a0fc6c24d1f3ff9ac281887c92b24acd%22	https://cdn.mairuan.com/cdn/common/js/fastclick.js	C:/My%20Websites/mkd/cdn/common/js/fastclick.js	(from https://www.makeding.com/)
21:06:23	569/569	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Feb%202021%2013:06:23%20GMT	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/gou_1.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/gou_1.3b.delayed	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
21:06:23	47051/47051	U-----	200	untouched ('')	text/javascript	date:Fri,%2023%20Oct%202020%2003:00:57%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Websites/mkd/analytics.js	(from https://www.makeding.com/)
21:06:23	280473/280473	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%225d06b4882837abc22aea91ea51d55b11%22	https://cdn.mairuan.com/cdn/layui/font/iconfont.svg?v=240	C:/My%20Websites/mkd/cdn/layui/font/iconfont87db.svg	(from https://cdn.mairuan.com/cdn/layui/css/layui.css?ver=1.227)
21:06:23	71976/71976	---M--	200	added ('OK')	image/png	etag:%22e503ba3a3a188b2719d442ed91deaaeb%22	https://pic.mairuan.com/fenxiao20201208/button-xg.png	C:/My%20Websites/mkd/fenxiao20201208/button-xg.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
